"","T cells","CD8 T cells","Cytotoxic lymphocytes","B lineage","NK cells","Monocytic lineage","Myeloid dendritic cells","Neutrophils","Endothelial cells","Fibroblasts"
"SJBALL030048_D1",389.397596508225,334.2073859795,227.331105273081,3706.26111322221,183.775735753636,95.7068333375109,31.4277587733017,1063.02477723938,449.666072936295,63.6220482483911
"SJBALL030207_D1",230.297391422447,327.924941605083,179.886357928301,5185.74397144856,120.841363616426,103.627008573748,16.9302897779478,482.274643849139,143.871954954465,74.9080103094772
"SJBALL030054_D1",108.554685516168,281.195872120193,364.651568386209,4183.06107440815,284.465591563451,144.179057355094,26.8843598667886,449.33211193573,598.767373046634,435.690115814137
"SJBALL030214_D1",117.476406108278,84.1037363115819,120.312781298956,4222.72442878257,10.0809272976211,903.991725423412,27.0744904564682,722.293640432983,205.344888721364,121.907213677661
"SJBALL030052_D1",113.35751003011,88.3110883597247,37.2061243936855,4795.07589376192,229.010110492167,100.28547322206,34.176890127916,640.430017053913,334.347277328025,108.70496257839
"SJBALL030215_D1",239.416790445782,274.540549655702,255.957702927306,2708.58220061114,102.870997623967,222.807398462077,212.659981320608,4585.61158082067,132.592463379104,118.232195045179
"SJBALL030219_D1",1384.22093805698,998.502947569821,780.179485621022,7453.33141573337,207.674744998029,555.516322417813,174.738015824719,2075.59177527245,286.029490189271,3107.14701948637
"SJBALL030216_D1",193.886462782419,265.14651279489,225.816666695897,3856.68588161705,42.0354227601656,195.725375049688,11.0862653433404,889.795974529101,49.2241729437378,77.1419296807434
"SJBALL030221_D1",912.213919177498,980.271850335469,375.417242538288,9114.76789952218,58.2964698873745,709.247194456283,58.4202415856492,784.415514985615,149.021124722715,143.203854903805
"SJBALL030225_D1",683.915196468568,325.157779620556,220.062140136055,3258.35191661432,138.700115369393,196.836584448872,543.961868823554,20738.0212545664,139.081159642386,133.111466032165
"SJBALL030227_D1",406.342073090721,468.691611693475,239.849034164078,3731.93615115038,84.8032196956802,148.434297114926,63.3126035582891,1474.98748300978,170.91058985198,132.555190407601
"SJBALL030247_D1",196.09077955532,191.501641128282,377.753623368491,5225.86700678955,310.931380831933,368.880960459071,19.6677361158776,210.479281240093,257.653812768034,827.921115377911
"SJBALL030248_D1",453.291852395288,495.293235724859,299.917570192912,10608.3647746479,94.6242703280614,94.2954133432007,86.1028358256196,2293.98632243551,683.814829361815,297.927120021387
"SJBALL030254_D1",119.847526274029,78.9129823919717,190.46480375967,4414.9934767775,29.6863124236464,93.997708958056,20.6050565134593,621.258111218574,268.550743202679,255.527752507337
"SJBALL030258_D1",81.5879063048316,75.9096271114551,80.2643976206611,4831.21940423128,100.677384382565,290.061870975942,52.6486062052546,608.61191059675,290.899737360679,97.80088768592
"SJBALL030265_D1",310.648610493286,237.060942824765,660.854414025387,2980.73039645136,375.243601771665,369.467005136614,213.121628864741,2505.08115056063,454.212470529482,65.6444798273437
