"","T cells","CD8 T cells","Cytotoxic lymphocytes","B lineage","NK cells","Monocytic lineage","Myeloid dendritic cells","Neutrophils","Endothelial cells","Fibroblasts"
"SJBALL030207_D1",358.146182125227,509.971325051019,279.749639848302,8064.59158474073,187.926023628468,161.155179641902,26.3290808844774,750.007724201852,238.587416175982,116.49293002075
"SJBALL030054_D1",116.400991994881,301.52064191445,391.008495771672,4485.41171964208,305.026695890199,154.600284835426,28.8275549117174,481.809728578542,684.459648376857,467.18169226861
"SJBALL030214_D1",62.9993255680412,45.1024919888886,64.520394606414,2264.52953308595,5.4061206151065,484.785591485266,14.519295366286,387.345967729232,117.410642387513,65.375444295538
"SJBALL030052_D1",128.02610777225,99.7386491007405,42.0206415097551,5415.56446492005,258.644293430734,113.26253372457,38.5994206971792,723.3024292978,402.504616116717,122.7715151007
"SJBALL030215_D1",92.8207761195777,106.438094203374,99.2336109562753,1050.10472146202,39.8826073220382,86.3813920983848,82.4472856686456,1777.82028203693,54.7564862401804,45.8380721167508
"SJBALL030219_D1",709.452989864004,511.761440724768,399.864395550424,3820.04643331127,106.439271872964,284.718071387351,89.5582521268344,1063.80040224732,149.595450774823,1592.50209436645
"SJBALL030216_D1",449.627229971155,614.880948229295,523.674117680599,8943.7445241668,97.4811259387907,453.891710415154,25.7093079399009,2063.45762115415,121.619309504586,178.893934415143
"SJBALL030221_D1",756.004848800562,812.408423524737,311.130152385953,7553.93946843478,48.3136827626454,587.794492864795,48.4162595837975,650.090861733633,130.040055401906,118.681382072995
"SJBALL030225_D1",86.5791421701542,41.1628251205171,27.8584120012071,412.485810061848,17.5585175904705,24.9182102068844,68.8619761911984,2625.29638147805,18.7805389612359,16.8510315337117
"SJBALL030227_D1",253.255423310959,292.115191564782,149.487519753797,2325.95424475783,52.8541756427145,92.5126715621015,39.4600049488195,919.295844869625,113.622583263897,82.6159117696059
"SJBALL030247_D1",258.4313865466,252.383282655927,497.847950227463,6887.25935781062,409.781775825806,486.154516282015,25.9204452457439,277.394238594802,362.135904762247,1091.13137437429
